Frequency;Initial Proposal;Final Regulation;Frequency;dFrequency
337;SHALL;SHALL;453;116
108;SHOULD;SHOULD;194;86
31;ESTABLISHED;ESTABLISHED;58;27
36;DESIGNATED;DESIGNATED;61;25
1;EXEMPTED;EXEMPTED;23;22
78;ENSURE;ENSURE;97;19
11;ALLOW;ALLOW;23;12
5;REPEALING;REPEALING;13;8
17;ENSURING;ENSURING;24;7
7;COMPLY;COMPLY;13;6
7;DETERMINE;DETERMINE;13;6
25;RECOMMENDATIONS;RECOMMENDATIONS;30;5
;;ALLOWED;4;4
9;AMENDED;AMENDED;13;4
9;AUTHORISED;AUTHORISED;13;4
9;ESTABLISHING;ESTABLISHING;13;4
4;MITIGATE;MITIGATE;8;4
8;ENFORCE;ENFORCE;11;3
26;ESTABLISH;ESTABLISH;29;3
;;EXEMPTIONS;3;3
6;DEEMED;DEEMED;8;2
4;DEEMS;DEEMS;6;2
13;ENABLING;ENABLING;15;2
21;IMPLEMENTING;IMPLEMENTING;23;2
10;IMPOSE;IMPOSE;12;2
3;LIMITS;LIMITS;5;2
5;REQUIRING;REQUIRING;7;2
3;SUITABLE;SUITABLE;5;2
6;ALLOWING;ALLOWING;7;1
;;APPROVALS;1;1
;;APPROVING;1;1
;;DEEM;1;1
;;DIRECTED;1;1
;;EXCEPTION;1;1
;;EXEMPT;1;1
;;PREVENTS;1;1
;;RESTRAIN;1;1
;;RESTRICT;1;1
;;WAIVER;1;1
1;ANNULLING;ANNULLING;1;0
9;APPROVE;APPROVE;9;0
2;CANNOT;CANNOT;2;0
1;CONFERRING;CONFERRING;1;0
1;ENFORCING;ENFORCING;1;0
1;EVALUATE;EVALUATE;1;0
1;EXEMPTION;EXEMPTION;1;0
1;GRANTING;GRANTING;1;0
10;IMPLEMENTED;IMPLEMENTED;10;0
4;LIMIT;LIMIT;4;0
2;LIMITATIONS;LIMITATIONS;2;0
2;MANDATORY;MANDATORY;2;0
2;PERMITTED;PERMITTED;2;0
6;REQUESTED;REQUESTED;6;0
1;SUITABILITY;SUITABILITY;1;0
7;SUPERVISE;SUPERVISE;7;0
1;TAKE EFFECT;TAKE EFFECT;1;0
3;COMPLYING WITH;COMPLYING WITH;2;-1
1;EXEMPTING;;;-1
6;LIMITING;LIMITING;5;-1
1;PRESCRIBE;;;-1
1;PRIOR APPROVAL;;;-1
1;REPEALED;;;-1
1;RESTRICTION;;;-1
7;SPECIFIED;SPECIFIED;6;-1
5;ALLOWS;ALLOWS;3;-2
3;APPROVAL;APPROVAL;1;-2
3;ASSIGNED;ASSIGNED;1;-2
7;DETERMINED;DETERMINED;5;-2
3;MANDATED;MANDATED;1;-2
3;PREVENTING;PREVENTING;1;-2
4;REGULATED;REGULATED;2;-2
31;REQUIRED;REQUIRED;29;-2
2;SUBJECTING;;;-2
10;ESTABLISHMENT;ESTABLISHMENT;7;-3
6;MANDATE;MANDATE;3;-3
5;REMOVE;REMOVE;2;-3
5;REQUIRES;REQUIRES;2;-3
5;AUTHORIZED;;;-5
24;PREVENT;PREVENT;19;-5
17;LIMITED;LIMITED;11;-6
86;REQUIRE;REQUIRE;80;-6
98;ADD;ADD;77;-21
