frequency;num_words;rel_num_words
1;409;0.19429928741092636
2;237;0.11258907363420427
3;222;0.10546318289786223
4;154;0.07315914489311164
5;118;0.056057007125890734
6;101;0.047980997624703085
7;79;0.03752969121140143
8;61;0.028978622327790974
9;68;0.032304038004750596
10;51;0.024228028503562947
11;44;0.020902612826603325
12;33;0.015676959619952493
13;36;0.0171021377672209
14;25;0.011876484560570071
15;22;0.010451306413301662
16;14;0.00665083135391924
17;24;0.01140142517814727
18;18;0.00855106888361045
19;14;0.00665083135391924
20;15;0.007125890736342043
21;17;0.008076009501187649
22;21;0.009976247030878859
23;8;0.003800475059382423
24;13;0.006175771971496437
25;15;0.007125890736342043
26;8;0.003800475059382423
27;13;0.006175771971496437
28;10;0.004750593824228029
29;11;0.005225653206650831
30;11;0.005225653206650831
31;7;0.00332541567695962
32;7;0.00332541567695962
33;6;0.0028503562945368173
34;10;0.004750593824228029
35;1;0.00047505938242280285
36;4;0.0019002375296912114
37;9;0.004275534441805225
38;6;0.0028503562945368173
39;2;0.0009501187648456057
40;8;0.003800475059382423
41;1;0.00047505938242280285
42;4;0.0019002375296912114
43;2;0.0009501187648456057
44;3;0.0014251781472684087
45;2;0.0009501187648456057
46;3;0.0014251781472684087
47;3;0.0014251781472684087
48;1;0.00047505938242280285
49;1;0.00047505938242280285
