frequency;num_words;rel_num_words
1;378;0.17483811285846437
2;239;0.11054579093432007
3;192;0.08880666049953746
4;135;0.06244218316373728
5;102;0.04717853839037928
6;71;0.03283996299722479
7;54;0.02497687326549491
8;64;0.02960222016651249
9;62;0.028677150786308975
10;67;0.030989824236817762
11;41;0.018963922294172063
12;30;0.013876040703052728
13;27;0.012488436632747455
14;33;0.015263644773358002
15;25;0.01156336725254394
16;28;0.012950971322849213
17;25;0.01156336725254394
18;21;0.00971322849213691
19;23;0.010638297872340425
20;19;0.008788159111933395
21;19;0.008788159111933395
22;16;0.0074005550416281225
23;20;0.009250693802035153
24;14;0.0064754856614246065
25;10;0.004625346901017576
26;15;0.006938020351526364
27;8;0.0037002775208140612
28;7;0.0032377428307123032
29;11;0.005087881591119334
30;8;0.0037002775208140612
31;9;0.004162812210915819
32;12;0.005550416281221091
33;13;0.006012950971322849
34;14;0.0064754856614246065
35;7;0.0032377428307123032
36;7;0.0032377428307123032
37;9;0.004162812210915819
38;8;0.0037002775208140612
39;6;0.0027752081406105457
40;7;0.0032377428307123032
41;5;0.002312673450508788
42;5;0.002312673450508788
43;5;0.002312673450508788
44;8;0.0037002775208140612
45;6;0.0027752081406105457
46;2;0.0009250693802035153
47;4;0.0018501387604070306
48;5;0.002312673450508788
49;6;0.0027752081406105457
