frequency;num_words;rel_num_words
1;549;0.25463821892393323
2;320;0.14842300556586271
3;182;0.08441558441558442
4;143;0.0663265306122449
5;112;0.05194805194805195
6;94;0.04359925788497217
7;77;0.03571428571428571
8;53;0.02458256029684601
9;31;0.01437847866419295
10;40;0.01855287569573284
11;34;0.015769944341372914
12;26;0.012059369202226345
13;34;0.015769944341372914
14;29;0.013450834879406308
15;27;0.012523191094619666
16;22;0.01020408163265306
17;16;0.0074211502782931356
18;17;0.007884972170686457
19;24;0.011131725417439703
20;14;0.006493506493506494
21;18;0.008348794063079777
22;13;0.006029684601113173
23;10;0.00463821892393321
24;9;0.004174397031539889
25;5;0.002319109461966605
26;11;0.00510204081632653
27;10;0.00463821892393321
28;7;0.003246753246753247
29;14;0.006493506493506494
30;12;0.0055658627087198514
31;8;0.0037105751391465678
32;4;0.0018552875695732839
33;6;0.0027829313543599257
34;3;0.0013914656771799629
35;8;0.0037105751391465678
36;8;0.0037105751391465678
37;8;0.0037105751391465678
38;3;0.0013914656771799629
39;5;0.002319109461966605
40;4;0.0018552875695732839
41;2;0.0009276437847866419
42;5;0.002319109461966605
43;5;0.002319109461966605
44;2;0.0009276437847866419
45;4;0.0018552875695732839
46;1;0.00046382189239332097
47;4;0.0018552875695732839
48;3;0.0013914656771799629
49;2;0.0009276437847866419
