GIRO;2
SUPERVISING;2
2007/64/EC;1
STAGES;4
INDIVIDUALLY;2
2016/97;5
OFFICE;2
BOOST;1
APPROVING;1
NONMODIFICATION;1
EUROPEAN;136
93;1
MICROENTERPRISE;1
PORTABILITY;2
SHOCK;1
DEPENDENT;4
RESPECTED;1
REVEALING;2
Â€”;3
EC;16
INCIDENTS;80
REALLIFE;1
DEPOSITORIES;9
INTERCONNECTEDNESS;2
SECTORAL;5
ALERT;2
2004/25/EC;1
INTELLIGENCELED;1
LAID;29
NONPUBLIC;1
ENTRY;1
CYBERSECURITY;10
ENCOMPASS;1
TWENTIETH;1
Â€˜SIGNIFICANT;1
RESOURCE;1
INSUFFICIENCY;1
OSIIS;4
RECONSTRUCTING;1
TEMPLATE;3
SPECIALIS;1
DISABLE;1
TOKENSÂ€™;1
DISRUPTION;16
Â€˜CREDIT;2
2013;8
PROPAGATION;1
REQUESTED;6
2020;2
COMMENCED;1
RANGING;1
EXPOSURES;2
MITIGATION;4
IORPS;1
LIFECYCLE;1
MEANING;6
GSIIS;4
FOSTERS;1
FORCE;5
MESSAGE;1
FRAMEWORKÂ€™;1
DIMENSION;4
RESUMPTION;3
THREATÂ€™;3
JANUARY;13
RISKBASED;4
99;1
CONCLUDED;14
OBLIGATION;11
ASSIGNMENT;1
2022/2555;27
OBJECT;1
RECEIVED;5
ARTICLES;26
UTILITY;1
CATEGORISE;1
SUPPLIERS;3
STATUS;2
OBSERVING;1
ENCRYPTION;1
ICTINTENSIVE;1
SUMMONING;1
ALTERATION;1
QUALITY;14
ADOPTS;1
REACTIONS;1
FASTRESPONSE;2
2018;4
BACKUPS;2
910/2014;1
NONCOMPLIANCE;11
ORAL;2
106;1
CHARGED;1
ACCESSRELATED;1
INVITED;1
2022/2556;2
EXERCISES;4
BODYÂ€™;1
Â€˜ELECTRONIC;2
2022/2554;17
ACTIVELY;1
INFRINGED;1
CAPACITIES;4
Â€˜TRADE;1
2015/2366;21
TRANSMITTING;1
Â€˜THREATLED;1
DISCHARGING;1
REPERCUSSIONS;1
COHESIVE;1
Â€˜ACCOUNT;1
FIRMÂ€™;2
CONTINUITY;50
CONSENT;1
CONTROLLER;3
REPETITION;2
APPEAL;6
IMPEDED;1
NOTIFIED;5
DELETED;5
ACCESSIBLE;5
CESSATION;2
AUTHORISATION;7
THOROUGHLY;1
RESTRAIN;1
AMENDMENT;1
DOCUMENT;9
SUSPICION;1
DELEGATE;3
MISUSE;2
2000/46/EC;1
AGREEMENTS;1
REDUCTION;1
DISCONTINUATION;2
ORDERS;1
TODAY;3
OBJECTED;1
TERRITORIES;2
DEMANDING;1
INTERCONNECTED;2
PREPARING;1
PREVENTIVE;2
TRANSIT;1
ADVERSELY;3
OUTAGE;1
SPECIFICATION;2
NONSUPERVISORY;1
PLANNED;5
NATIONAL;56
PARTIAL;2
ESTIMATION;3
PAPERBASED;1
RUNS;1
GOOD;6
FINTECH;1
DRIVING;1
SECONDARY;3
PERSONAL;15
COHERENTLY;1
AWARE;2
16;9
CHANNELLED;1
INSTITUTIONAL;2
CONFIGURATION;2
BENEFITTING;1
ACTORS;2
H;7
102;2
LENIENCY;1
INHERENT;1
Â€˜ESMAÂ€™;1
312;1
CHANNELS;5
CHAIRPERSONS;1
LESSONS;3
ESASÂ€™;1
ANALYSE;2
ANNEX;5
EXEMPTED;23
RESTRUCTURING;2
LATEST;1
RESILIENT;4
111;2
SCALABILITY;2
UNDETECTED;1
ENTITIESÂ€™;12
COMPLYING;2
CSD;4
PROFILE;21
CRIMINAL;9
REPUTABILITY;1
BIA;4
NONTERMINATION;1
DEEM;1
REACHING;1
VIII;1
TACTICAL;1
CLARIFICATIONS;1
MUTUAL;7
SCHEDULED;3
ANYWHERE;1
PLACED;1
OPINION;4
FUNDSÂ€™;1
INSTANTANEOUSLY;1
*2;2
AVOIDED;4
CONTACT;5
ASKED;1
VALIDATED;1
PREPARATORY;5
FAITH;1
TAILORED;3
Â€˜PAYMENT;2
FRAGMENTED;1
COUNTRIESÂ€™;1
NONPUBLICATION;1
STANDARDSETTING;1
600/2014;14
UNHINDERED;1
ENCOMPASSING;1
TRIGGERED;1
ANNULLING;1
THREATSÂ€™;1
POINTÂ€™;1
82/891/EEC;1
INSPECT;1
OPPOSE;1
UNIONÂ€™S;7
Â€˜ECOSYSTEMÂ€™;1
SOLUTIONS;19
LINKS;1
DUTIES;16
Â€˜FINANCIAL;1
LANDLINE;1
CROSSSECTORAL;1
2009/78/EC;1
COMFORT;1
WIDER;3
UCITS;1
CALIBRATION;1
APPROXIMATELY;1
COMPETITIVENESS;1
ENCOUNTER;1
BORDERS;3
INTERVIEWED;2
COSTINEFFECTIVE;1
CLARIFIED;1
ADVISED;1
URGENT;1
TESTER;3
316;3
SUBSECTORS;6
ISSUER;1
GRADUAL;1
TRANSMITTED;3
27G;1
PATTERNS;2
ASSIGNED;1
ESCB;2
REPRESENTATIVE;7
CATER;2
NOTIFICATION;28
DISRUPTS;1
MANAGERS;6
2018/1725;3
PARTICIPANTSÂ€™;1
119;1
CURRENTLY;2
EXPECTATIONS;4
HOST;3
PREVENTION;3
IMPERATIVE;1
GUIDED;1
CENTRALISATION;4
INTERDEPENDENCES;1
BEARS;1
OPINIONS;1
